,ANO_ELEICAO,UF,NUMERO_CANDIDATO,NOME_URNA_CANDIDATO,G_Index,V2,Cand_Name_Numb,MoranI,Above_avg_G,Above_avg_I,Quadrant,Party_Number
8522,2010,MG,7096,SGT TULIO,0.136381677,130,SGT TULIO - 7096,0.042458238,FALSE,FALSE,Deconcentrated and Discontiguous,70
8523,2010,MG,7099,CLAUDIONOR MESSIAS AGUIAR,0.410329451,957,CLAUDIONOR MESSIAS AGUIAR - 7099,0.257605769,TRUE,TRUE,Concentrated and Contiguous,70
13786,2014,MG,1000,DRA. ARIADNA,0.079486889,30968,DRA. ARIADNA - 1000,0.152164829,FALSE,TRUE,Deconcentrated and Contiguous,10
13787,2014,MG,1001,RONALDO RESENDE,0.69305266,14831,RONALDO RESENDE - 1001,0.092395086,TRUE,FALSE,Concentrated and Discontiguous,10
13788,2014,MG,1002,ANGELA MAIRINK,0.144429525,70,ANGELA MAIRINK - 1002,-0.003255188,FALSE,FALSE,Deconcentrated and Discontiguous,10
13789,2014,MG,1010,GEORGE HILTON,0.016713202,146792,GEORGE HILTON - 1010,0.144592573,FALSE,TRUE,Deconcentrated and Contiguous,10
13790,2014,MG,1011,GREYCE ELIAS,0.561443478,11655,GREYCE ELIAS - 1011,0.180730632,TRUE,TRUE,Concentrated and Contiguous,10
13791,2014,MG,1013,ZÉ FRANCISCO,0.161166044,1127,ZÉ FRANCISCO - 1013,0.294782683,TRUE,TRUE,Concentrated and Contiguous,10
13792,2014,MG,1015,ANDERSON ADAUTO,0.132348669,1365,ANDERSON ADAUTO - 1015,0.336788268,FALSE,TRUE,Deconcentrated and Contiguous,10
13793,2014,MG,1020,CORONEL RAMALHO,0.230568461,16451,CORONEL RAMALHO - 1020,0.360658776,TRUE,TRUE,Concentrated and Contiguous,10
13794,2014,MG,1040,LAURINHA,0.128175305,198,LAURINHA - 1040,0.112601243,FALSE,FALSE,Deconcentrated and Discontiguous,10
13795,2014,MG,1045,FERNANDO FRANCO,0.826002414,5126,FERNANDO FRANCO - 1045,0.052348468,TRUE,FALSE,Concentrated and Discontiguous,10
13796,2014,MG,1050,MEDEIROS,0.114672754,1107,MEDEIROS - 1050,0.103986429,FALSE,FALSE,Deconcentrated and Discontiguous,10
13797,2014,MG,1077,PASTOR ALEXANDRE AMORIM,0.098400466,643,PASTOR ALEXANDRE AMORIM - 1077,0.19504623,FALSE,TRUE,Deconcentrated and Contiguous,10
13798,2014,MG,1100,RENATO ANDRADE,0.274630303,78151,RENATO ANDRADE - 1100,0.641924935,TRUE,TRUE,Concentrated and Contiguous,11
13799,2014,MG,1111,DIMAS FABIANO,0.026882828,129096,DIMAS FABIANO - 1111,0.522070995,FALSE,TRUE,Deconcentrated and Contiguous,11
13800,2014,MG,1113,SOCORRO SANFONEIRA,0.025990716,818,SOCORRO SANFONEIRA - 1113,0.034765049,FALSE,FALSE,Deconcentrated and Discontiguous,11
13801,2014,MG,1121,RENZO BRAZ,0.029809237,109510,RENZO BRAZ - 1121,0.219590839,FALSE,TRUE,Deconcentrated and Contiguous,11
13802,2014,MG,1122,TONINHO PINHEIRO,0.040909951,148239,TONINHO PINHEIRO - 1122,0.232123139,FALSE,TRUE,Deconcentrated and Contiguous,11
13803,2014,MG,1123,PEDRO ONZE,0.031562954,3536,PEDRO ONZE - 1123,0.238819293,FALSE,TRUE,Deconcentrated and Contiguous,11
13804,2014,MG,1145,LUIZ FERNANDO,0.033435834,117542,LUIZ FERNANDO - 1145,0.337099644,FALSE,TRUE,Deconcentrated and Contiguous,11
13805,2014,MG,1156,SÔNIA,0.025397479,235,SÔNIA - 1156,0.054463536,FALSE,FALSE,Deconcentrated and Discontiguous,11
13806,2014,MG,1199,ODELMO LEÃO,0.695059352,179652,ODELMO LEÃO - 1199,0.550540989,TRUE,TRUE,Concentrated and Contiguous,11
13807,2014,MG,1200,DR.ATILAS,0.097715758,4208,DR.ATILAS - 1200,0.06860797,FALSE,FALSE,Deconcentrated and Discontiguous,12
13808,2014,MG,1201,MAURO FERNANDES,0.319121017,1206,MAURO FERNANDES - 1201,0.081492043,TRUE,FALSE,Concentrated and Discontiguous,12
