"","ANO_ELEICAO","UF","NUMERO_CANDIDATO","NOME_URNA_CANDIDATO","NUMERO_PARTIDO","DESC_SIT_TOT_TURNO","G_Index","V2","Cand_Name_Numb","MoranI","Above_avg_G","Above_avg_I","Quadrant"
"22400",2014,"SP",1048,"ADRIANO VITAL",10,"SUPLENTE",0.305653976619737,1024,"ADRIANO VITAL - 1048",0.0273468121945464,TRUE,FALSE,"Concentrated and Discontiguous"
"22401",2014,"SP",1049,"ELISSANDRA ARAUJO",10,"SUPLENTE",0.4565735327923,391,"ELISSANDRA ARAUJO - 1049",0.328605361301155,TRUE,TRUE,"Concentrated and Contiguous"
"22402",2014,"SP",1050,"BRANQUINHO ESTABILE",10,"SUPLENTE",0.462801115995319,707,"BRANQUINHO ESTABILE - 1050",0.173842689518766,TRUE,TRUE,"Concentrated and Contiguous"
"22403",2014,"SP",1051,"SULA MIRANDA",10,"SUPLENTE",0.0136525724772965,3795,"SULA MIRANDA - 1051",0.0482093093585182,FALSE,FALSE,"Deconcentrated and Discontiguous"
"22404",2014,"SP",1052,"DIANA PAULA",10,"SUPLENTE",0.019036613139678,90,"DIANA PAULA - 1052",-0.0166657247017775,FALSE,FALSE,"Deconcentrated and Discontiguous"
"22405",2014,"SP",1053,"JAIR SANTANA",10,"SUPLENTE",0.627963571797169,2520,"JAIR SANTANA - 1053",0.118275720734972,TRUE,FALSE,"Concentrated and Discontiguous"
"22406",2014,"SP",1054,"PROFESSORA STELA",10,"SUPLENTE",0.328911891792539,564,"PROFESSORA STELA - 1054",0.114828290881246,TRUE,FALSE,"Concentrated and Discontiguous"
"22407",2014,"SP",1055,"DR SALDANHA",10,"SUPLENTE",0.701161995812666,3445,"DR SALDANHA - 1055",0.0267071965881832,TRUE,FALSE,"Concentrated and Discontiguous"
"22408",2014,"SP",1057,"JENNIFER MISAEL",10,"SUPLENTE",0.110652467705871,58,"JENNIFER MISAEL - 1057",0.0129231908887342,FALSE,FALSE,"Deconcentrated and Discontiguous"
"22409",2014,"SP",1058,"CARLOS SILVA",10,"SUPLENTE",0.563835359759408,1715,"CARLOS SILVA - 1058",0.109666314861533,TRUE,FALSE,"Concentrated and Discontiguous"
"22410",2014,"SP",1059,"ELIAS CORDEIRO",10,"SUPLENTE",0.248394047741162,660,"ELIAS CORDEIRO - 1059",0.0266006524679536,TRUE,FALSE,"Concentrated and Discontiguous"
"22411",2014,"SP",1060,"ELIANA SANTOS",10,"SUPLENTE",0.071969150440972,130,"ELIANA SANTOS - 1060",0.0221059010154718,FALSE,FALSE,"Deconcentrated and Discontiguous"
"22412",2014,"SP",1061,"SILVIO BULLE",10,"SUPLENTE",0.436801868519537,2107,"SILVIO BULLE - 1061",0.051220715111592,TRUE,FALSE,"Concentrated and Discontiguous"
"22413",2014,"SP",1062,"DONA VILMA",10,"SUPLENTE",0.711213370444791,511,"DONA VILMA - 1062",0.0748913395857184,TRUE,FALSE,"Concentrated and Discontiguous"
"22414",2014,"SP",1063,"ANDRÉA MARCIA",10,"SUPLENTE",0.144736794377397,200,"ANDRÉA MARCIA - 1063",0.00679012787514086,FALSE,FALSE,"Deconcentrated and Discontiguous"
"22415",2014,"SP",1064,"JANAINA SILVA",10,"SUPLENTE",0.392134552830604,252,"JANAINA SILVA - 1064",0.00765653113853414,TRUE,FALSE,"Concentrated and Discontiguous"
"22416",2014,"SP",1065,"LUCILIA RABELO",10,"SUPLENTE",0.447830092989944,462,"LUCILIA RABELO - 1065",0.252206158154878,TRUE,TRUE,"Concentrated and Contiguous"
"22417",2014,"SP",1066,"IRMÃO BRAZ",10,"SUPLENTE",0.311519111559197,6275,"IRMÃO BRAZ - 1066",0.288414281866201,TRUE,TRUE,"Concentrated and Contiguous"
"22418",2014,"SP",1067,"CELSO REIMANN",10,"SUPLENTE",0.144366370710631,303,"CELSO REIMANN - 1067",0.0174751786228547,FALSE,FALSE,"Deconcentrated and Discontiguous"
"22419",2014,"SP",1068,"SIRLENE ROSA",10,"SUPLENTE",0.323234279816887,121,"SIRLENE ROSA - 1068",-0.00147512057926931,TRUE,FALSE,"Concentrated and Discontiguous"
"22420",2014,"SP",1069,"SAMUEL ARAUJO",10,"SUPLENTE",0.223987135471855,522,"SAMUEL ARAUJO - 1069",0.0168336544841317,TRUE,FALSE,"Concentrated and Discontiguous"
"22421",2014,"SP",1070,"JOSE MARIO",10,"SUPLENTE",0.119864558428581,831,"JOSE MARIO - 1070",0.0723019967709536,FALSE,FALSE,"Deconcentrated and Discontiguous"
"22422",2014,"SP",1072,"ANSELMO",10,"NÃO ELEITO",0.0582959049644964,274,"ANSELMO - 1072",-0.0265767742511913,FALSE,FALSE,"Deconcentrated and Discontiguous"
"22423",2014,"SP",1074,"MASTROBUONO",10,"SUPLENTE",0.164837735196999,479,"MASTROBUONO - 1074",0.0316522244982798,TRUE,FALSE,"Concentrated and Discontiguous"
"22424",2014,"SP",1075,"ROBERTO RAMALHO",10,"SUPLENTE",0.775450946176938,14651,"ROBERTO RAMALHO - 1075",0.189182799299258,TRUE,TRUE,"Concentrated and Contiguous"
"22425",2014,"SP",1076,"PAULA SAMPAIO",10,"SUPLENTE",0.504983482053493,323,"PAULA SAMPAIO - 1076",0.116418366625746,TRUE,FALSE,"Concentrated and Discontiguous"
"22426",2014,"SP",1077,"HILDEBRANDO ALMEIDA (BRANDÃO)",10,"SUPLENTE",0.144991370288569,1776,"HILDEBRANDO ALMEIDA (BRANDÃO) - 1077",0.0638804351067026,FALSE,FALSE,"Deconcentrated and Discontiguous"
"22427",2014,"SP",1078,"ROBERTO ALVES",10,"ELEITO POR QP",0.0762761956786705,130516,"ROBERTO ALVES - 1078",0.413362448475895,FALSE,TRUE,"Deconcentrated and Contiguous"
"22428",2014,"SP",1079,"MARCOS QUADRA",10,"SUPLENTE",0.384387354612887,11407,"MARCOS QUADRA - 1079",0.435951468713696,TRUE,TRUE,"Concentrated and Contiguous"
"22429",2014,"SP",1080,"MARCELO SQUASONI",10,"ELEITO POR QP",0.666583748820839,30315,"MARCELO SQUASONI - 1080",0.0231932464842985,TRUE,FALSE,"Concentrated and Discontiguous"
"22430",2014,"SP",1081,"DR. JEFERSON CAMILLO",10,"SUPLENTE",0.0436754455915756,284,"DR. JEFERSON CAMILLO - 1081",0.0892414660199787,FALSE,FALSE,"Deconcentrated and Discontiguous"
"22431",2014,"SP",1082,"CARLOS ADÃO",10,"SUPLENTE",0.0789137608759148,848,"CARLOS ADÃO - 1082",0.143980979406349,FALSE,TRUE,"Deconcentrated and Contiguous"
"22432",2014,"SP",1083,"ADRIANA NEVES",10,"SUPLENTE",0.192689964313526,848,"ADRIANA NEVES - 1083",0.0817572599739983,TRUE,FALSE,"Concentrated and Discontiguous"
"22433",2014,"SP",1084,"SIMONE  HIEDA",10,"SUPLENTE",0.150235798621675,57,"SIMONE  HIEDA - 1084",-0.00698333909320603,FALSE,FALSE,"Deconcentrated and Discontiguous"
"22434",2014,"SP",1085,"VINICIUS CARVALHO",10,"ELEITO POR QP",0.164854623346596,80643,"VINICIUS CARVALHO - 1085",0.337125404097089,TRUE,TRUE,"Concentrated and Contiguous"
"22435",2014,"SP",1086,"DRª ELIPÉRSIDA - DRA. ELI",10,"SUPLENTE",0.197502580971578,317,"DRª ELIPÉRSIDA - DRA. ELI - 1086",0.0054961212546839,TRUE,FALSE,"Concentrated and Discontiguous"
"22436",2014,"SP",1087,"GIBI EX ORIGINAIS DO SAMBA",10,"SUPLENTE",0.170177686897151,644,"GIBI EX ORIGINAIS DO SAMBA - 1087",0.0405333254118066,TRUE,FALSE,"Concentrated and Discontiguous"
"22437",2014,"SP",1088,"MARCIO LIMA",10,"SUPLENTE",0.150340961080054,506,"MARCIO LIMA - 1088",0.0173067610035223,FALSE,FALSE,"Deconcentrated and Discontiguous"
"22438",2014,"SP",1089,"SOUZA MAGAZINE",10,"SUPLENTE",0.424557985032354,2236,"SOUZA MAGAZINE - 1089",0.32957062786748,TRUE,TRUE,"Concentrated and Contiguous"
"22439",2014,"SP",1090,"MACEDO",10,"SUPLENTE",0.581036907246072,2478,"MACEDO - 1090",0.163344645619826,TRUE,TRUE,"Concentrated and Contiguous"
"22440",2014,"SP",1091,"MISSIONÁRIA EDINALVA AZEVEDO",10,"SUPLENTE",0.253305698062254,2171,"MISSIONÁRIA EDINALVA AZEVEDO - 1091",0.470260512637322,TRUE,TRUE,"Concentrated and Contiguous"
